,tahun,bulan,jenis,kode_trayek,trayek,jumlah_penumpang,kategory_penumpang
0,2021,10,Mikrotrans,JAK.88,Terminal Tanjung Priok - Ancol Barat,31197,sepi penumpang (Mikrotrans)
1,2021,10,Mikrotrans,JAK.85,Bintara - Cipinang Indah,30711,sepi penumpang (Mikrotrans)
2,2021,10,Mikrotrans,JAK.84,Terminal Kampung Melayu - Kapin Raya,40186,sepi penumpang (Mikrotrans)
3,2021,10,Mikrotrans,JAK.80,Rawa Buaya - Rawa Kompeni,61883,sepi penumpang (Mikrotrans)
4,2021,10,Mikrotrans,JAK.77,Tanjung Priok - Jembatan Item,66616,sepi penumpang (Mikrotrans)
5,2021,10,Mikrotrans,JAK.75,Cililitan - Kp. Pulo,50363,sepi penumpang (Mikrotrans)
6,2021,10,Mikrotrans,JAK.74,Terminal Rawamangun - Cipinang Muara,50676,sepi penumpang (Mikrotrans)
7,2021,10,Mikrotrans,JAK.73,Jambore Cibubur - Pasar Rebo,75846,sepi penumpang (Mikrotrans)
8,2021,10,Mikrotrans,JAK.72,Kampung Rambutan - Pasar Rebo via Poncol,97831,sepi penumpang (Mikrotrans)
9,2021,10,Mikrotrans,JAK.71,Kampung Rambutan - Pinang Ranti,57649,sepi penumpang (Mikrotrans)
10,2021,10,Mikrotrans,JAK.64,Lenteng Agung - Aseli,52926,sepi penumpang (Mikrotrans)
11,2021,10,Mikrotrans,JAK.61,Cempaka Putih - Pulo Gadung via Kelapa Gading,35233,sepi penumpang (Mikrotrans)
12,2021,10,Mikrotrans,JAK.60,Kelapa Gading - Rusun Kemayoran,69665,sepi penumpang (Mikrotrans)
13,2021,10,Mikrotrans,JAK.59,Rawamangun - Tanah Merah,72106,sepi penumpang (Mikrotrans)
14,2021,10,Mikrotrans,JAK.58,Cilingcing - Rorotan,91654,sepi penumpang (Mikrotrans)
15,2021,10,Mikrotrans,JAK.56,Grogol - Srengseng,49293,sepi penumpang (Mikrotrans)
16,2021,10,Mikrotrans,JAK.54,Grogol - Benhil,41815,sepi penumpang (Mikrotrans)
17,2021,10,Mikrotrans,JAK.53,Grogol - Pos Pengumben via Slipi,46344,sepi penumpang (Mikrotrans)
18,2021,10,Mikrotrans,JAK.52,Kalideres - Muara Angke,65266,sepi penumpang (Mikrotrans)
19,2021,10,Mikrotrans,JAK.51,Taman Kota - Budi Luhur,104140,sepi penumpang (Mikrotrans)
20,2021,10,Mikrotrans,JAK.50,Kalideres - Puri Kembangan,69097,sepi penumpang (Mikrotrans)
21,2021,10,Mikrotrans,JAK.49,Lebak Bulus - Cipulir,44014,sepi penumpang (Mikrotrans)
22,2021,10,Mikrotrans,JAK.47,Pasar Minggu - Ciganjur via KB Ragunan,50597,sepi penumpang (Mikrotrans)
23,2021,10,Mikrotrans,JAK.46,Pasar Minggu - Jagakarsa,83425,sepi penumpang (Mikrotrans)
24,2021,10,Mikrotrans,JAK.45,Lebak Bulus - Ragunan,48167,sepi penumpang (Mikrotrans)
25,2021,10,Mikrotrans,JAK.44,Andara - Stasiun Universitas Pancasila,64885,sepi penumpang (Mikrotrans)
